"addr_short","ISIid","author","address","lon","lat"
" Aberdeen AB11 9DB,  Scotland","WOS:000303043500001","Mordue (Luntz), A. Jennifer"," Marine Scotland Sci Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000303043500001","O'Shea, Brid"," Marine Scotland Sci Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000303043500001","Bricknell, Ian R."," Marine Scotland Sci Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000303808300006","Bland, F."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000303808300006","McIntosh, R."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000303808300006","Bain, N."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000303808300006","Snow, M."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000304533800010","Wright, Peter J."," Marine Scotland, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000313047600020","Wright, Peter J."," Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000313047600020","Tobin, Declan"," Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000323635600009","de Castro, Carlos"," Marine Lab, Marine Scotland Sci, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000323635600009","Wright, Peter J."," Marine Lab, Marine Scotland Sci, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000323635600009","Millar, Colin P."," Marine Lab, Marine Scotland Sci, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000323635600009","Holmes, Steven J."," Marine Lab, Marine Scotland Sci, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000325236400003","Wright, Peter J.","Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
